Ch20-03,What does your father do?
Ch20-03,你爸爸做什么？
Ch20-03,He works in some company.
Ch20-03,他在某家公司上班。
Ch20-03,He works for a computer company.
Ch20-03,他在电脑公司上班。
Ch20-03,He works for ASUS.
Ch20-03,他为华硕电脑工作。
Ch20-03,He works for government.
Ch20-03,他为政府工作。
Ch20-03,My mom teaches at a school.
Ch20-03,我妈妈在学校教书。
Ch20-03,My mon is a homemaker.
Ch20-03,我妈妈是家庭主妇。
Ch20-03,My parents both work.
Ch20-03,我爸妈都有工作。
Ch20-03,My dad is very strict.
Ch20-03,我爸很严厉。
Ch20-03,Daddy's too busy to play with me often.
Ch20-03,爸爸太忙了，不能常跟我玩。
Ch20-03,Daddy plays with us on weekends.
Ch20-03,爸爸在周末跟我们玩。
Ch20-03,Daddy helps clean the house.
Ch20-03,爸爸帮忙打扫房间。
Ch20-03,My mom's a good cook.
Ch20-03,我妈很会做饭。
Ch20-03,Mommy's busy because she has to take care of us.
Ch20-03,因为妈妈要照顾我们，所以很忙。
Ch20-03,I look a lot like my mom.
Ch20-03,我长得跟妈妈很像。
Ch20-03,My mom and dad are in a good relationship.
Ch20-03,我妈和我爸的感情很好。
Ch20-03,I respect my parents.
Ch20-03,我尊敬我的爸妈。
Ch20-03,My parents got divorced.
Ch20-03,我爸妈离婚了。
Ch20-03,How are your grandparents?
Ch20-03,你的祖父母好吗？
Ch20-03,They're both healthy.
Ch20-03,他们都很健康。
Ch20-03,My grandfather passed away.
Ch20-03,我爷爷已经过世了。
Ch20-03,My gandmother died when I was young.
Ch20-03,我奶奶在我很小的时候就去世了。
Ch20-03,How old is your grandfather?
Ch20-03,你外公几岁了？
Ch20-03,He's 66 years old.
Ch20-03,他有66岁了。
Ch20-03,My grandfather lives with us.
Ch20-03,外公跟我们住在一起。
Ch20-03,My grandmother isn't very healthy.
Ch20-03,我外婆不是很健康。
Ch20-03,My grandparents really love me.
Ch20-03,我的外公外婆真的很爱我。
Ch20-03,My grandparents are nice to me.
Ch20-03,外公外婆对我很好。
Ch20-03,I love my grandparents the most.
Ch20-03,我最爱我的外公外婆了。